Stature,Head breadth,Head depth,Head circumference,Face length
1552.0,151.0,184.0,560.0,112.0
1814.0,149.0,205.0,583.0,124.0
1842.0,153.0,194.0,564.0,116.0
1633.0,148.0,189.0,570.0,112.0
1761.0,144.0,201.0,570.0,127.0
1806.0,156.0,195.0,571.0,119.0
1903.0,155.0,199.0,584.0,128.0
1806.0,156.0,200.0,582.0,118.0
1942.0,145.0,201.0,577.0,119.0
1790.0,150.0,200.0,567.0,127.0
1748.0,140.0,185.0,550.0,112.0
1883.0,150.0,202.0,580.0,122.0
1649.0,140.0,191.0,555.0,116.0
1667.0,142.0,183.0,545.0,108.0
1732.0,153.0,196.0,565.0,130.0
1741.0,145.0,211.0,588.0,118.0
1845.0,147.0,194.0,575.0,112.0
1714.0,152.0,186.0,570.0,124.0
1768.0,158.0,201.0,579.0,126.0
1852.0,165.0,197.0,588.0,120.0
1741.0,154.0,188.0,565.0,123.0
1716.0,145.0,195.0,576.0,123.0
1815.0,168.0,207.0,615.0,121.0
1688.0,153.0,197.0,570.0,120.0
1801.0,146.0,202.0,585.0,125.0
1842.0,145.0,205.0,572.0,119.0
1550.0,141.0,186.0,560.0,105.0
1903.0,160.0,200.0,592.0,122.0
1805.0,165.0,186.0,568.0,123.0
1696.0,154.0,187.0,554.0,111.0
1731.0,155.0,193.0,565.0,122.0
1626.0,146.0,211.0,589.0,123.0
1655.0,140.0,183.0,546.0,117.0
1624.0,165.0,184.0,568.0,106.0
1721.0,150.0,198.0,577.0,119.0
1789.0,156.0,207.0,592.0,124.0
1844.0,150.0,206.0,583.0,119.0
1805.0,156.0,204.0,579.0,128.0
1769.0,167.0,201.0,595.0,128.0
1608.0,150.0,191.0,563.0,115.0
1600.0,154.0,198.0,582.0,104.0
1623.0,145.0,189.0,571.0,115.0
1811.0,156.0,200.0,588.0,124.0
1621.0,155.0,185.0,553.0,108.0
1766.0,157.0,200.0,571.0,129.0
1646.0,140.0,187.0,555.0,121.0
1620.0,151.0,191.0,570.0,103.0
1773.0,146.0,201.0,575.0,131.0
1699.0,145.0,190.0,560.0,114.0
1497.0,147.0,189.0,549.0,112.0
1602.0,148.0,186.0,552.0,105.0
1605.0,146.0,185.0,540.0,109.0
1619.0,144.0,182.0,545.0,111.0
1810.0,171.0,205.0,609.0,124.0
1510.0,133.0,168.0,496.0,96.0
1743.0,161.0,197.0,582.0,130.0
1893.0,154.0,204.0,599.0,130.0
1761.0,160.0,201.0,590.0,114.0
1690.0,150.0,194.0,594.0,115.0
1854.0,154.0,211.0,604.0,128.0
1784.0,165.0,199.0,597.0,130.0
1691.0,150.0,187.0,548.0,115.0
1964.0,161.0,190.0,568.0,117.0
1780.0,150.0,196.0,601.0,118.0
1711.0,151.0,186.0,556.0,121.0
1774.0,145.0,197.0,586.0,111.0
1736.0,153.0,201.0,577.0,125.0
1737.0,151.0,182.0,553.0,109.0
1636.0,141.0,185.0,545.0,107.0
1830.0,166.0,210.0,603.0,121.0
1765.0,157.0,196.0,582.0,118.0
1732.0,135.0,185.0,545.0,109.0
1720.0,161.0,204.0,597.0,124.0
1634.0,141.0,180.0,540.0,109.0
1764.0,152.0,198.0,575.0,110.0
1805.0,154.0,213.0,593.0,120.0
1913.0,150.0,211.0,595.0,121.0
1645.0,151.0,190.0,560.0,124.0
