Stature,Head breadth,Head depth,Head circumference,Face length
1583.0,153.0,176.0,532.0,113.0
1595.0,151.0,189.0,564.0,128.0
1772.0,143.0,197.0,546.0,125.0
1580.0,143.0,176.0,532.0,121.0
1750.0,151.0,201.0,572.0,121.0
1698.0,139.0,189.0,536.0,116.0
1563.0,146.0,186.0,535.0,117.0
1561.0,146.0,180.0,535.0,103.0
1571.0,153.0,186.0,559.0,114.0
1754.0,150.0,200.0,570.0,120.0
1617.0,146.0,187.0,537.0,106.0
1591.0,148.0,175.0,534.0,113.0
1587.0,155.0,182.0,559.0,115.0
1805.0,149.0,200.0,577.0,114.0
1696.0,162.0,196.0,569.0,116.0
1654.0,149.0,181.0,540.0,121.0
1696.0,152.0,197.0,561.0,122.0
1805.0,154.0,195.0,562.0,126.0
1795.0,157.0,202.0,575.0,130.0
1675.0,150.0,181.0,545.0,120.0
1800.0,162.0,195.0,589.0,121.0
1570.0,150.0,181.0,539.0,107.0
1685.0,150.0,192.0,545.0,114.0
1554.0,151.0,180.0,545.0,97.0
1665.0,149.0,188.0,554.0,121.0
1666.0,145.0,192.0,545.0,113.0
1804.0,156.0,194.0,565.0,111.0
1764.0,156.0,197.0,570.0,115.0
1665.0,144.0,178.0,525.0,107.0
1685.0,145.0,183.0,532.0,126.0
1909.0,160.0,206.0,596.0,124.0
1724.0,160.0,190.0,560.0,109.0
1834.0,153.0,215.0,610.0,122.0
1729.0,152.0,199.0,575.0,124.0
1649.0,146.0,196.0,557.0,126.0
1710.0,150.0,195.0,560.0,115.0
1633.0,157.0,184.0,548.0,109.0
1837.0,164.0,190.0,575.0,138.0
1552.0,148.0,184.0,541.0,114.0
1674.0,145.0,189.0,555.0,115.0
1567.0,142.0,176.0,515.0,111.0
1737.0,152.0,196.0,560.0,113.0
1686.0,151.0,202.0,568.0,117.0
1814.0,157.0,210.0,598.0,130.0
1750.0,147.0,206.0,573.0,132.0
1774.0,154.0,201.0,573.0,119.0
1760.0,161.0,196.0,582.0,122.0
1635.0,151.0,184.0,545.0,117.0
1551.0,153.0,192.0,565.0,106.0
1640.0,144.0,188.0,538.0,116.0
1703.0,166.0,186.0,570.0,118.0
1625.0,161.0,189.0,555.0,119.0
1554.0,145.0,200.0,555.0,116.0
1575.0,155.0,190.0,562.0,118.0
1749.0,153.0,203.0,588.0,134.0
1619.0,140.0,185.0,527.0,118.0
1485.0,150.0,187.0,553.0,112.0
1680.0,156.0,196.0,578.0,113.0
