"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2123.0,1821.0,1692.0,739.0,140.0,271.0,468.0,837.0,952.0,761.0,388.0,325.0,328.0,215.0,367.0,530.0,639.0,1135.0,186.0,13.0,100.0,25.0,71.0,68.4,46.0
1907.0,1588.0,1473.0,660.0,133.0,240.0,420.0,763.0,876.0,658.0,446.0,317.0,368.0,261.0,310.0,445.0,567.0,950.0,173.0,13.0,93.0,26.0,69.0,63.7,39.0
2138.0,1815.0,1677.0,685.0,130.0,188.0,497.0,786.0,918.0,760.0,433.0,337.0,350.0,239.0,354.0,517.0,638.0,1131.0,188.0,14.0,100.0,27.0,74.0,67.8,62.0
2023.0,1659.0,1540.0,644.0,106.0,184.0,460.0,751.0,863.0,685.0,353.0,287.0,316.0,235.0,320.0,459.0,575.0,1003.0,172.0,14.0,93.0,25.0,70.0,48.1,36.0
2230.0,1835.0,1689.0,682.0,136.0,197.0,485.0,815.0,957.0,770.0,423.0,331.0,346.0,233.0,367.0,521.0,647.0,1123.0,190.0,15.0,104.0,27.0,78.0,74.4,48.0
2265.0,1921.0,1766.0,783.0,151.0,273.0,510.0,894.0,1021.0,797.0,428.0,337.0,352.0,216.0,371.0,508.0,651.0,1138.0,200.0,17.0,107.0,31.0,72.0,76.7,59.0
2243.0,1864.0,1731.0,817.0,145.0,307.0,510.0,861.0,971.0,658.0,427.0,340.0,372.0,242.0,372.0,512.0,635.0,1127.0,200.0,17.0,105.0,27.0,76.0,76.9,50.0
2327.0,1920.0,1775.0,763.0,131.0,243.0,520.0,846.0,966.0,795.0,424.0,332.0,369.0,199.0,382.0,535.0,660.0,1194.0,208.0,15.0,110.0,32.0,78.0,73.8,47.0
2082.0,1711.0,1595.0,705.0,120.0,220.0,485.0,777.0,895.0,718.0,395.0,323.0,329.0,220.0,348.0,460.0,571.0,1060.0,177.0,16.0,102.0,31.0,67.0,59.1,62.0
2081.0,1728.0,1587.0,690.0,139.0,227.0,463.0,803.0,921.0,764.0,452.0,326.0,335.0,199.0,356.0,470.0,593.0,1011.0,187.0,17.0,106.0,29.0,73.0,65.9,46.0
2105.0,1659.0,1540.0,660.0,128.0,210.0,450.0,780.0,916.0,735.0,456.0,345.0,352.0,261.0,351.0,480.0,597.0,1021.0,181.0,13.0,96.0,25.0,72.0,70.6,58.0
2302.0,1858.0,1726.0,725.0,132.0,235.0,490.0,829.0,948.0,843.0,457.0,329.0,335.0,220.0,381.0,512.0,650.0,1112.0,198.0,15.0,104.0,31.0,80.0,71.0,63.0
2149.0,1773.0,1656.0,705.0,145.0,185.0,520.0,800.0,895.0,786.0,414.0,315.0,340.0,216.0,352.0,470.0,628.0,1079.0,186.0,15.0,92.0,24.0,74.0,61.6,33.0
2328.0,1870.0,1753.0,747.0,135.0,227.0,520.0,835.0,946.0,800.0,445.0,351.0,360.0,226.0,386.0,520.0,644.0,1147.0,207.0,16.0,112.0,32.0,82.0,72.7,48.0
2310.0,1951.0,1837.0,785.0,133.0,263.0,522.0,919.0,1001.0,798.0,405.0,346.0,335.0,233.0,393.0,537.0,650.0,1197.0,210.0,19.0,111.0,31.0,80.0,71.0,47.0
2061.0,1755.0,1629.0,693.0,136.0,211.0,482.0,817.0,910.0,715.0,421.0,335.0,355.0,238.0,346.0,522.0,633.0,1085.0,176.0,15.0,90.0,24.0,66.0,64.7,33.0
2030.0,1724.0,1605.0,697.0,135.0,225.0,472.0,765.0,873.0,717.0,460.0,338.0,350.0,238.0,370.0,508.0,620.0,1065.0,170.0,14.0,91.0,25.0,64.0,64.6,28.0
2293.0,1888.0,1745.0,749.0,135.0,229.0,520.0,840.0,965.0,814.0,441.0,345.0,346.0,249.0,376.0,525.0,665.0,1180.0,199.0,18.0,111.0,30.0,79.0,76.2,49.0
2183.0,1780.0,1657.0,743.0,135.0,248.0,495.0,799.0,928.0,784.0,429.0,328.0,367.0,248.0,372.0,478.0,604.0,1120.0,197.0,14.0,104.0,24.0,76.0,71.5,49.0
2071.0,1752.0,1602.0,690.0,128.0,225.0,465.0,788.0,917.0,747.0,402.0,320.0,346.0,220.0,339.0,486.0,619.0,1078.0,188.0,14.0,109.0,25.0,75.0,66.4,54.0
2183.0,1780.0,1642.0,695.0,156.0,239.0,456.0,848.0,950.0,760.0,420.0,335.0,352.0,234.0,343.0,513.0,626.0,1062.0,194.0,15.0,113.0,28.0,80.0,78.2,74.0
2188.0,1848.0,1708.0,727.0,139.0,235.0,492.0,833.0,949.0,773.0,414.0,337.0,353.0,225.0,372.0,512.0,640.0,1115.0,201.0,16.0,106.0,29.0,82.0,74.7,62.0
